"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,1,1982,0,"Intact",9,"1. Control",0,0,1,"ANNUAL",14.354
"A",1,1,1982,0,"Intact",9,"1. Control",0,0,1,"BIENNIAL",7.4
"A",1,1,1982,0,"Intact",9,"1. Control",0,0,1,"PERENNIAL",39.583
"A",1,1,1983,0,"Intact",9,"1. Control",0,0,2,"ANNUAL",3.67
"A",1,1,1983,0,"Intact",9,"1. Control",0,0,2,"BIENNIAL",8.3
"A",1,1,1983,0,"Intact",9,"1. Control",0,0,2,"PERENNIAL",123.933
"A",1,1,1984,0,"Intact",9,"1. Control",0,0,3,"ANNUAL",29.777
"A",1,1,1984,0,"Intact",9,"1. Control",0,0,3,"BIENNIAL",8.233
"A",1,1,1984,0,"Intact",9,"1. Control",0,0,3,"PERENNIAL",153.436
"A",1,1,1985,0,"Intact",9,"1. Control",0,0,4,"ANNUAL",0.933
"A",1,1,1985,0,"Intact",9,"1. Control",0,0,4,"BIENNIAL",0.256
"A",1,1,1985,0,"Intact",9,"1. Control",0,0,4,"PERENNIAL",100.116
"A",1,1,1986,0,"Intact",9,"1. Control",0,0,5,"ANNUAL",36.418
"A",1,1,1986,0,"Intact",9,"1. Control",0,0,5,"BIENNIAL",12.057
"A",1,1,1986,0,"Intact",9,"1. Control",0,0,5,"PERENNIAL",87.597
"A",1,1,1987,0,"Intact",9,"1. Control",0,0,6,"ANNUAL",12.553
"A",1,1,1987,0,"Intact",9,"1. Control",0,0,6,"BIENNIAL",25.984
"A",1,1,1987,0,"Intact",9,"1. Control",0,0,6,"PERENNIAL",76.814
"A",1,1,1988,0,"Intact",9,"1. Control",0,0,7,"BIENNIAL",0.7
"A",1,1,1988,0,"Intact",9,"1. Control",0,0,7,"PERENNIAL",49.532
"A",1,1,1989,0,"Intact",9,"1. Control",0,0,8,"ANNUAL",0.067
"A",1,1,1989,0,"Intact",9,"1. Control",0,0,8,"BIENNIAL",1.767
"A",1,1,1989,0,"Intact",9,"1. Control",0,0,8,"PERENNIAL",144.8
"A",1,1,1990,0,"Intact",9,"1. Control",0,0,9,"ANNUAL",0.553
"A",1,1,1990,0,"Intact",9,"1. Control",0,0,9,"PERENNIAL",110.75
"A",1,1,1991,0,"Intact",9,"1. Control",0,0,10,"ANNUAL",9.05
"A",1,1,1991,0,"Intact",9,"1. Control",0,0,10,"BIENNIAL",1.1
"A",1,1,1991,0,"Intact",9,"1. Control",0,0,10,"PERENNIAL",117.699
"A",1,1,1992,0,"Intact",9,"1. Control",0,0,11,"ANNUAL",13.2
"A",1,1,1992,0,"Intact",9,"1. Control",0,0,11,"PERENNIAL",116.266
"A",1,1,1993,0,"Intact",9,"1. Control",0,0,12,"ANNUAL",0.053
"A",1,1,1993,0,"Intact",9,"1. Control",0,0,12,"BIENNIAL",0.367
"A",1,1,1993,0,"Intact",9,"1. Control",0,0,12,"PERENNIAL",151.563
"A",1,1,1994,0,"Intact",9,"1. Control",0,0,13,"ANNUAL",1.733
"A",1,1,1994,0,"Intact",9,"1. Control",0,0,13,"PERENNIAL",149.699
"A",1,1,1995,0,"Intact",9,"1. Control",0,0,14,"PERENNIAL",114.234
"A",1,1,1996,0,"Intact",9,"1. Control",0,0,15,"PERENNIAL",126.49
"A",1,1,1997,0,"Intact",9,"1. Control",0,0,16,"PERENNIAL",91.066
"A",1,1,1998,0,"Intact",9,"1. Control",0,0,17,"PERENNIAL",120.281
"A",1,1,1999,0,"Intact",9,"1. Control",0,0,18,"PERENNIAL",226.834
"A",1,1,2000,0,"Intact",9,"1. Control",0,0,19,"PERENNIAL",142.9
"A",1,1,2001,0,"Intact",9,"1. Control",0,0,20,"ANNUAL",0.267
"A",1,1,2001,0,"Intact",9,"1. Control",0,0,20,"PERENNIAL",111.9
"A",1,1,2002,0,"Intact",9,"1. Control",0,0,21,"ANNUAL",0.02
"A",1,1,2002,0,"Intact",9,"1. Control",0,0,21,"BIENNIAL",12.567
"A",1,1,2002,0,"Intact",9,"1. Control",0,0,21,"PERENNIAL",123.077
"A",1,1,2003,0,"Intact",9,"1. Control",0,0,22,"PERENNIAL",77.866
"A",1,1,2004,0,"Intact",9,"1. Control",0,0,23,"ANNUAL",1.1
"A",1,1,2004,0,"Intact",9,"1. Control",0,0,23,"PERENNIAL",51.4333
