TSTAID;Bank;Surface;PctCanopy;imidacloprid;median.of.sumconcn_triazH;pyrethroid_deg_sum;Bifenthrin;Tmax42.C.OBSYN;TP_MED_42DAY;TN_MED_42DAY;NH3_MED_42DAY;RBS;MMI_NRSA;MMI_BENT;BC_2.RelAbun;BC_3.RelAbun;BC_4.RelAbun;UrbanTotal2011;AgricultureTotal2011;SandContent;r50_ForestTotal2011;BasinArea;BFI;PreWisconsinan;LateWisconsinan;Slope
T03383782;0.77;0.23;88;18.92;90.35;0;0;27.67;0.01;0.65;0.05;0;47.3;33.73;0.11;0.28;0.17;2.32;19.66;15.34;81.98;31.17;21.37;0;0;6.24
T03384450;0.58;0.42;38;0;102.05;0;0;31.18;0.02;0.22;0.01;4.33;NA;30.35;0.3;0.31;0.05;3.06;13.03;10.41;100;111.09;14.28;0;0;10.55
T03611100;0.5;0.5;50;39.95;700.07;0;0;31.06;0.05;0.56;0.03;1.22;56.5;43.95;0.01;0.09;0.61;7.09;55.98;16.63;70.39;66.43;14.52;0;0;5.35
T372629086330400;NA;NA;41;258.48;370.56;0;0;29.57;0.05;0.7;0.08;0.36;65.5;44.77;0.15;0.2;0.3;4.52;28.97;16.68;57.77;185.41;27.99;0;0;9.68
T373514086371200;0.88;0.12;88;0.73;127.25;0;0;27.15;0.01;0.11;0;0.06;66.7;60.77;0.41;0.91;0.01;1.98;5.48;16.87;97.66;11.84;25.99;0;0;11.71
T383158092192001;0.82;0.18;18;145.65;1188.66;0;0;31.17;0.14;0.72;0.03;3.9;67.2;72.12;0.01;0.07;0.2;6.55;69.18;12.3;45.78;870.96;14.64;0;0;5.27
T03336645;0.69;0.31;12;176.61;553.85;0;0;32.3;0.08;10.7;0.01;0.92;65.2;79;0.01;0.07;0.04;6.62;87.11;11.62;75.59;1120.29;33.11;0;100;1.46
T03336890;0.74;0.26;0;41.88;1429.5;2.81;0;33.6;0.04;4.17;0.05;0.02;40.9;44.4;0.24;0.18;0.19;7.06;92.68;14.49;2.16;108.4;35.05;0;100;1.13
T03340900;0.7;0.3;45;67.18;2562.14;3.21;0;45.47;0.07;3.37;0.87;2.44;71.6;49.72;0.11;0.35;0.3;5.84;78.4;20.95;55.19;559.36;29.41;0.55;99.45;2.74
T03351072;0.41;0.59;82;948.45;399.89;5.62;0;26.13;0.04;0.69;0.03;6.54;77.3;67.63;0.05;0.62;0.16;62.27;31.69;23.35;58.76;42.24;28.95;0;100;1.43
T03352875;0.08;0.92;36;101;855.87;0;0;29.05;0.11;1.47;0.06;0.19;66.4;52.85;0.12;0.46;0.14;31.94;57.97;26.24;6.04;831.26;35.73;0;100;1.51
T040857005;0.39;0.61;47;28.37;317.41;0;0;27.38;0.08;1.34;0.03;0.25;68.5;66.13;0.19;0.75;0.08;6.72;70.31;22.29;18.37;24.81;48.56;0;100;4.31
T05299770;0.59;0.41;37;41.94;627.11;0;0;28.46;0.14;1.27;0.02;0.01;30.9;58.95;0.05;0.33;0.36;3.89;66.35;26.5;0;299.34;31.59;1.99;98.01;2.44
T05315295;0.73;0.27;0;3.63;474.35;0;0;28.56;0.05;3.74;0.03;0.07;46.9;49.32;0.13;0.3;0.52;4.48;87.25;25.6;0.83;162.07;35.35;0;100;2.87
T05426400;0.85;0.15;7;1.37;59.65;0;0;26.49;0.04;1.84;0.03;0.02;66.4;45;0.61;0.71;0.1;3.68;33.95;43.12;4.06;67.73;53.27;0;100;3.45
T05458800;0.53;0.47;46;8;877.29;3.78;0;30.86;0.1;19.6;0.01;0.12;68.9;74.43;0.06;0.33;0.19;6.22;89.29;29.98;87.84;185.05;47.26;0.15;99.85;2.22
T05550500;0;1;76;2129.55;272.3;17.12;0;28.95;0.06;0.97;0.03;1.58;66.8;65.27;0.13;0.52;0.18;69.17;7.17;12.2;13.36;92.26;33.4;0;100;2.49
T05554300;0.69;0.31;20;75.54;319.46;0;0;30.85;0.06;6.08;0.03;1.46;68;64.45;0.07;0.3;0.2;5.4;92.75;14.41;60.32;173.96;31.74;0;100;1.07
T05572000;0.78;0.22;46;540.13;666.69;6.29;0;29.19;0.15;11.4;0;0;46.6;52.5;0.27;0.64;0.03;8.54;88.25;14.11;44.23;1425.83;35.38;0;100;1.38
T392158086035901;0.83;0.17;81;14.05;2124.75;0;0;26.2;0.04;0.79;0.02;0.08;71.8;61.32;0.68;0.81;0.03;4;57.4;28.65;93.53;16.5;27.59;0;100;4.1
T394253085111101;0.79;0.21;96;4.44;1683.66;0;0;23.68;0.14;1.15;0.05;6.71;73.1;36.4;0.15;0.62;0.06;5.17;79.67;21.6;51.43;8.74;40.69;0;100;2.22
T394340085524601;0.47;0.53;88;157.33;468.02;0;0;27.88;0.08;2.19;0.03;0.4;72;87;0.05;0.71;0.12;8.04;84.2;25.54;52.22;241.15;36.43;0;100;1.03
T395942083151401;0.72;0.28;41;152.05;1184.14;0;0;29.35;0.11;3.77;0.04;0.2;84.7;81.77;0.09;0.5;0.12;8.39;81.73;18.7;32.59;593.56;32.61;0;100;1.67
T403242084553201;0.88;0.12;88;170.89;304.04;4.45;0;29.85;0.14;1.71;0.02;0.08;64.1;40.25;0.05;0.27;0.18;4.65;87.59;13.04;10.28;82.76;22.56;0;100;1.27
T404917088222701;0.9;0.1;2;30.05;573.23;4.49;0;35.33;0.09;9.38;0.03;0.72;59.8;23.47;0.05;0.17;0.32;6.05;93.49;16.05;13.29;570.85;31;0;100;0.78
T410133082465301;0.9;0.1;5;330.76;2916.22;27.36;0;29.98;0.35;4.94;0.29;0;47.1;12.38;0;0.35;0.36;4.84;74.84;16.22;5.45;26.67;21.14;0;100;1.13
T411146082244001;0.67;0.33;58;253.28;1567.98;2.72;0;30.05;0.12;2.06;0.01;0.5;73.2;47.43;0.05;0.41;0.18;7.26;63.76;13.99;76.41;335.7;26.65;0;100;2.49
T05420520;0.73;0.27;73;3.81;610.11;2.05;0;25.18;0.09;18.05;0.02;0;59;61.48;0.02;0.47;0.15;5.35;86.61;38.21;76.88;74.25;52.58;100;0;1.52
T05455095;0.85;0.15;56;59.92;943.4;0;0;31.6;0.18;7.36;0.04;0;48.6;33.53;0.03;0.36;0.26;7.15;77.05;9.09;29.35;499.07;32.82;100;0;5.67
T05464220;0.86;0.14;5;19.38;869.37;5.37;0;31.18;0.14;12.3;0.01;0;55.7;31.55;0.05;0.45;0.07;6.59;89.53;5.39;2.16;772.37;40.42;100;0;3.31
T05483341;1;0;43;10.5;330.27;0;0;33.85;0.18;2.91;0.02;0.01;49.3;54.07;0.12;0.2;0.32;3.29;72.89;12.27;40.2;72.75;48.92;100;0;9.81
T06893620;0.7;0.3;52;257.21;49.05;5.83;0;27.71;0.16;1.45;0.05;0.1;49.7;17.62;0.1;0.2;0.3;94.25;0.25;4.68;19.87;24.27;21.63;100;0;6.23
T06897937;0.74;0.26;34;106.37;1550.93;3.7;0;30.66;0.17;1.38;0;0.05;49.4;33.93;0.01;0.3;0.22;4.36;74.76;13.81;35.19;237.52;16.52;100;0;6.73
T385638091364601;0.73;0.27;25;88.48;933.17;5.51;0;33.12;0.05;0.43;0;1.05;63;38.98;0.04;0.14;0.21;4.11;59.24;18.16;41.88;302.72;8.11;100;0;4.83
T385730088324401;0.54;0.46;52;327.75;1838.65;14.72;0;26.39;0.3;1.04;0.01;0.06;61;26.47;0.04;0.26;0.46;11.1;68.59;12.02;74.93;1231.28;19.56;90.72;9.28;1.88
T390033085300301;0.55;0.45;79;229.88;835.91;0;0;30.15;0.08;0.6;0.02;2.21;73.4;79.25;0.14;0.37;0.18;3.44;39.92;16.35;94.29;159.42;18.1;100;0;4.15
T390200092341701;0.74;0.26;87;32;1006.71;2.38;0;30.66;0.06;0.51;0.06;0.92;58.6;29.82;0.03;0.11;0.15;4.75;50.72;19.46;48.75;327.08;10.61;100;0;6.68
T390227092234101;1;0;39;6.49;245.28;0;0;36.08;0.03;0.47;0.02;0.12;69.4;50.03;0.04;0.37;0.28;5.15;43.12;22.44;38.38;460.55;10.16;100;0;5.54
T391110087194401;0.88;0.12;91;20.79;1283.24;0;0;28.66;0.04;0.53;0.05;0.04;51.9;44.17;0.07;0.5;0.29;5.85;63.6;13.72;79.41;37.09;26.34;100;0;2.84
T391308091550901;0.8;0.2;73;106.32;1508.27;3.01;0;29.95;0.14;1.35;0.08;NA;46.3;16.27;0.05;0.2;0.22;4.51;73.12;15.02;64.73;75.66;7;100;0;2.61
T391443091534001;0.67;0.33;70;61.37;746.49;9.27;0;29.55;0.06;1.11;0.01;0.5;58.3;36.98;0.42;0.25;0.19;2.78;92.31;10.38;55.74;44.91;7;100;0;1.29
T391601087414801;0.74;0.26;60;30.8;1970.28;5.77;0;29.55;0.09;1.01;0.03;0.09;57.4;61.3;0.07;0.24;0.19;6.77;57.56;12.53;62.35;269.82;25.58;99.28;0.72;3.99
T391815009203901;0.77;0.23;90;88.9;1859.81;0;0;26.39;0.13;0.92;0.04;NA;47.5;36.15;0.22;0.37;0.14;7.86;85.85;8.73;26.24;71.62;8.96;100;0;1.32
T393358096130000;0.87;0.13;36;286.36;1159.32;0;0;31.68;0.16;1.77;0.05;0.06;57.4;53.95;0.05;0.13;0.29;3.56;40.69;17.54;45.59;71.68;17.2;100;0;5.34
T394151094531501;0.9;0.1;30;47.34;1508.66;0;0;31.11;0.25;1.26;0.07;0;47.3;41.88;0.03;0.19;0.26;5.83;58.28;5.32;48.21;68.18;21.22;100;0;10.19
T394254094092301;1;0;26;82.45;1417.54;0;0;30.4;1.32;15.3;0.03;0.03;56.9;40.95;0.04;0.17;0.49;12.06;73.61;12.77;17.45;93.15;16.89;100;0;4.92
T394306095484300;0.65;0.35;39;65.85;1446.27;0;0;30.58;0.21;1.66;0.03;0.01;47.7;70.25;0.04;0.31;0.34;4.08;67.11;17.23;19.29;63.9;18.16;100;0;4.81
T400227095151501;1;0;0;22.8;1127.96;0;0;33.33;0.19;3.23;0.04;0;57.7;21.87;0;0.15;0.04;6.69;76.95;4.96;0.41;285.34;25.06;100;0;6.11
T400240092081201;0.71;0.29;67;165.7;2458.64;0;0;28.46;0.13;1.83;0.06;0.02;64.6;42.6;0.07;0.18;0.29;3.68;80.36;17.28;5.37;90.04;15.36;100;0;3.77
T400856089562001;0.53;0.47;21;2.58;51.81;0;0;30.66;0.13;0.97;0.15;0.04;41.6;24.47;0.04;0.43;0.18;5.23;65.93;13.97;2.75;39.77;44.98;100;0;4.15
T401143096134301;0.59;0.41;62;23.19;765.86;0;0;33.39;0.35;1.32;0.02;0.02;50.8;40.28;0.07;0.27;0.28;3.85;31.92;15.09;37.93;159.4;24.31;100;0;5.55
T424048097483601;0.69;0.31;37;0.15;934.07;0;0;30.12;0.23;6.61;0.02;0.05;58.1;40.35;0.01;0.16;0.42;4.3;59.31;5.17;9.72;145.02;57.48;100;0;6.2
T435420096290500;1;0;0;5;404.47;0;0;25.61;0.21;5.88;0.04;0.05;44.6;77.13;0.05;0.28;0.21;6.3;86.38;18.47;0;444.91;32.37;90.85;9.15;1.55
T03271000;0;1;61;564.18;445.11;0;0.04;27.92;0.07;1.05;0.02;1.89;79;72.08;0.07;0.53;0.11;40.87;48.79;21.71;38.25;178.17;36.95;0;100;2.22
T03259000;0.07;0.93;24;497.31;177.66;0;0.05;32.87;0.32;1.86;0.04;1.51;65.7;57.07;0.04;0.22;0.18;80.4;4.96;17.09;12.37;310.82;21.05;49.15;50.85;4.77
T401849087161401;0.62;0.38;46;87.66;583.81;1.61;0.06;29.97;0.03;3.04;0;1;70;79;0.08;0.46;0.2;5.47;87.75;22.86;79.51;837.98;35.96;0;100;1.77
T400502091403401;0.73;0.27;11;15.34;1451.7;2.08;0.07;34.36;0.1;0.44;0;0.05;57.6;56.83;0;0.37;0.22;4.38;72.03;20.13;2.32;1172.6;18.37;100;0;5.16
T03241500;0.56;0.44;70;59.34;839.56;0;0.08;26.55;0.05;2.61;0;4.12;74.4;79.18;0.06;0.51;0.18;6.02;87.55;23.12;86.53;166.87;45.48;0;100;1.88
T03353200;0.61;0.39;66;395.42;866.4;0;0.08;29.3;0.07;1.02;0.03;1.61;78;57.27;0.04;0.39;0.28;14.49;77.26;24.12;33.33;274.08;27.91;0;100;1.42
T05517000;0.43;0.57;50;86.71;388.01;1.83;0.08;27.33;0.11;3.43;0.02;0.03;55.7;49.45;0.04;0.3;0.58;9.13;74.86;40.21;5.56;1127.76;60.38;0;100;1.45
T391136090341101;0.63;0.37;0;7.97;583.65;5.15;0.08;37.38;0.34;2.36;0.3;0.01;42.6;14.78;0.02;0.18;0.47;4.19;51.15;6.68;5.56;29.43;18;86.71;0;9.91
T05457200;0.17;0.83;17;31.16;553;3.62;0.1;22.72;0.26;13.4;0;0.12;58.6;54.73;0.05;0.36;0.13;9.09;81.89;33.65;0;1406.65;52.66;57.39;42.61;1.54
T06804000;1;0;7;24.43;384.68;2.06;0.1;29.28;0.44;3.38;0.04;0;29.1;62.78;0.04;0.1;0.17;5.21;75.4;5.27;15.19;698.85;38.42;100;0;5.04
T040869416;0;1;0;NA;123.64;NA;0.11;31.08;0.14;0.93;0.03;2.58;44.7;22.45;0.18;0.3;0.09;93.82;0.51;10.97;0;34.93;40.22;0;100;1.96
T04087119;0;1;66;35.41;163.71;4.1;0.11;25.77;0.08;0.99;0.02;0.64;61.4;38.92;0.05;0.18;0.05;99.56;0.05;10.97;21.82;27.67;37.8;0;100;2.42
T05575550;0.86;0.14;77;24.19;403.34;6.35;0.11;27.17;0.09;11.85;0.03;0.67;35.2;13.47;0.08;0.64;0.13;4.33;95.27;4.33;37.93;39.3;21.08;100;0;0.57
T411439087065601;0;1;40;7.03;219.09;2.6;0.12;24.84;0.05;1.46;0.05;0.01;57;32.5;0.23;0.42;0.36;5.74;72.35;78.37;2.55;115.57;48.5;0;100;0.82
T05451210;0.67;0.33;16;25.59;755.1;0;0.13;29.8;0.08;18.7;0.01;0.31;57.5;70.48;0.09;0.23;0.35;6.72;88.41;31.04;27.04;582.4;41.36;0;100;1.86
T05544989;0.43;0.57;14;4.77;373.79;0;0.13;29.45;0.11;2.99;0.03;0.03;65.3;71.92;0.1;0.37;0.3;5.7;65.17;38.41;43.22;62.92;46.79;0;100;3.38
T06808495;1;0;95;16.17;924.99;3.67;0.13;27.86;0.39;8.71;0.05;0;49;42.48;0.03;0.12;0.21;9.11;85.89;4.34;5.93;11.71;33.79;100;0;6.59
T05482300;0.69;0.31;5;12.99;243.15;0;0.14;29.6;0.35;17.5;0.01;0.16;59.4;43;0.02;0.21;0.48;7.25;88.68;30.22;24.72;1808.55;51.77;0;100;1.44
T391504093003301;0.64;0.36;81;364.39;1101.31;8.64;0.14;27.57;0.37;5.71;0;2.01;69.2;60.97;0.06;0.3;0.21;13.8;70.33;3.75;83.78;21.07;13.67;100;0;4.51
T384224087353601;0.33;0.67;0;19.59;134.79;3.17;0.15;28.95;0.01;7.7;0.02;0.02;60;21.62;0.46;0.33;0.17;4.96;85.48;32.99;6.04;38.19;22.82;100;0;1.38
T391114085205801;0.79;0.21;59;512.01;1461.97;10.49;0.15;26.49;0.1;4.55;0.19;0.28;75.5;29.38;0.26;0.22;0.08;4.64;76.04;16.33;57.63;3.47;21;100;0;1.07
T413012096210001;0.86;0.14;0;61.97;506.24;4.03;0.15;31.09;0.28;11.6;0.02;0.05;26.1;38.5;0.1;0.24;0.29;3.79;88.27;4.72;0;432.45;40.18;100;0;4.57
T040852508;0;1;78;52.84;233.41;6.3;0.16;22.62;0.07;4.23;0.02;0.47;64.4;69.37;0.14;0.85;0.02;4.96;63.99;48.87;21.43;30.66;46.64;0;100;2.35
T0531656290;0.89;0.11;2;17.41;428.66;0;0.16;32.6;0.18;6.68;0.03;0.08;49.6;41.58;0.02;0.14;0.14;5.51;85.71;25.7;1.53;246.62;45.6;0;100;1.24
T05325148;0.32;0.68;35;NA;133.5;NA;0.16;29.75;0.08;16.25;0.02;0.29;70.8;45.98;0.28;0.54;0.2;4.66;84.55;29.95;69.67;93.95;46.88;0;100;1.49
T05418400;0.71;0.29;0;16.58;791.44;10.17;0.17;30.6;0.25;9.37;0;0.01;67.4;62.68;0.08;0.34;0.28;6;76.49;12.57;5.68;1302.64;51.69;100;0;7
T05457520;0.16;0.84;4;14.13;878.19;0;0.18;27.41;0.2;13.2;0;0.75;72.8;77.52;0.11;0.37;0.16;8.43;83.04;33.78;27.84;2232.89;51.7;66.35;33.65;1.45
T05487550;1;0;37;16.23;996.97;0;0.18;29.88;0.15;12.3;0.03;0.01;51.4;15.27;0.01;0.44;0.31;5.1;73.21;5.15;23.12;52.47;31.54;100;0;4.95
T410150083125701;0.5;0.5;51;430.98;1933.5;5.1;0.2;27.47;0.12;3.62;0.02;NA;NA;42.53;0.02;0.38;0.22;7.91;80.31;13.64;12.67;1999.47;20.72;0;100;1.53
T05483450;0.71;0.29;26;30.81;504.05;4.3;0.22;31.03;0.25;18.1;0;0.01;23.1;65.93;0.06;0.19;0.17;7.62;87.28;23.77;25.37;989.03;51.7;38.59;61.41;4.01
