Garden identity;Subplot identity;Species;Range type;Herbivory;Competition;Survival;RGR leaf number;Number flowering units;Incidence of flowering ;Aboveground biomass;Plant height;Specific leaf area;Minimum temperature;Summertemperature 2009;Summerprecipitation 2009;Precipitation of the vegetation period 2009;Temperature of the vegetation period 2009;Precipitation of the vegetation period 2008;Temperature of the vegetation period 2008;Precipitation of the vegetation period 2008-2009;Temperature of the vegetation period 2008-2009;PCA1;PCA2
BN;BN_3;I_c;o;0;1;1;0.0164;0;0;1.949;0;274.27;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_6;K_m;c;1;1;1;-0.0295;0;0;2.820;0;77.99;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_7;K_p;o;1;1;1;-0.0287;0;0;2.426;0;107.75;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_9;I_c;o;0;1;1;0.0063;0;0;1.087;0;342.26;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_14;I_c;o;0;0;1;-0.0040;0;0;8.586;0;157.29;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_16;K_m;c;1;1;1;-0.0088;0;0;3.994;0;48.07;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_7;I_h;c;1;1;1;0.0041;0;0;0.085;3;153.64;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_9;I_h;c;0;1;1;-0.0353;0;0;0.036;6;221.48;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_11;I_h;c;1;0;1;0.0280;0;0;0.755;7;124.72;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_3;I_h;c;0;1;1;-0.0200;0;0;0.109;8;149.87;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_4;I_h;c;1;1;1;-0.0077;0;0;0.085;9;159.82;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_16;I_h;c;1;1;1;0.0027;0;0;0.297;9;158.80;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_10;I_h;c;1;0;1;0.0151;0;0;0.902;10;101.40;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_8;I_h;c;1;0;1;0.0316;0;0;1.475;11;107.82;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_2;I_h;c;1;0;1;0.0225;0;0;3.012;13;88.96;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_13;I_h;c;0;1;1;0.0049;0;0;0.136;14;242.00;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_6;I_h;c;1;1;1;-0.0010;0;0;0.186;17;177.79;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_12;I_h;c;0;0;1;0.0145;0;0;2.753;18;108.89;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_15;I_h;c;0;0;1;0.0205;0;0;1.107;18;235.71;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_16;D_d;o;1;1;1;0.0114;0;0;0.785;24;160.04;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_3;Si_o;c;0;1;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_5;I_h;c;0;1;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_8;Ca_b;c;1;0;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_10;I_c;o;1;0;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_11;Ca_b;c;1;0;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_14;I_h;c;0;0;1;0.0045;0;0;0.179;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_15;I_c;o;0;0;0;NA;0;0;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_6;K_p;o;1;1;1;-0.0164;2;1;4.535;77;62.37;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_9;Sc_o;c;0;1;1;-0.0015;5;1;3.830;69;83.68;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_8;K_p;o;1;0;1;0.0112;7;1;35.551;85;103.28;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_4;K_p;o;1;1;0;NA;8;1;NA;NA;NA;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
BN;BN_11;K_p;o;1;0;1;0.0153;10;1;34.897;61;87.60;-0.8;53.5;182.9;368;95.9;171.7;40.9;539.7;136.8;-1.3510;-0.5392
