"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","functional.group","mass.above"
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"C3",21.8
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"C4",2.72
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"F",36.784
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"S",0.033
"A",1,1,1983,0,"Intact",9,0,"1. Control",0,2,"C3",39
"A",1,1,1983,0,"Intact",9,0,"1. Control",0,2,"F",96.903
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"C3",34.866
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"C4",2.013
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"F",154.494
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"S",0.073
"A",1,1,1985,0,"Intact",9,0,"1. Control",0,4,"C3",98.433
"A",1,1,1985,0,"Intact",9,0,"1. Control",0,4,"C4",0.133
"A",1,1,1985,0,"Intact",9,0,"1. Control",0,4,"F",2.739
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"C3",69.3
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"C4",0.267
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"F",65.938
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"S",0.567
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,"C3",75.787
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,"C4",0.267
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,"F",39.297
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"C3",32.599
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"C4",4.833
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"F",12.5
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"L",0.3
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"C3",92.267
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"C4",0.067
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"F",50.567
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"L",3.733
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"C3",40.003
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"C4",67.967
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"F",0.836
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"L",2.497
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,"C3",115.166
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,"C4",8.333
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,"F",4.35
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"C3",87.166
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"C4",28.867
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"F",13.233
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"L",0.2
"A",1,1,1993,0,"Intact",9,0,"1. Control",0,12,"C3",99.15
"A",1,1,1993,0,"Intact",9,0,"1. Control",0,12,"C4",41.87
"A",1,1,1993,0,"Intact",9,0,"1. Control",0,12,"F",0.42
"A",1,1,1993,0,"Intact",9,0,"1. Control",0,12,"L",10.543
"A",1,1,1994,0,"Intact",9,0,"1. Control",0,13,"C3",70.233
"A",1,1,1994,0,"Intact",9,0,"1. Control",0,13,"C4",78.433
"A",1,1,1994,0,"Intact",9,0,"1. Control",0,13,"F",2.499
"A",1,1,1994,0,"Intact",9,0,"1. Control",0,13,"L",0.2
"A",1,1,1994,0,"Intact",9,0,"1. Control",0,13,"S",0.067
"A",1,1,1995,0,"Intact",9,0,"1. Control",0,14,"C3",75.367
"A",1,1,1995,0,"Intact",9,0,"1. Control",0,14,"C4",38.8
"A",1,1,1995,0,"Intact",9,0,"1. Control",0,14,"F",0.067
"A",1,1,1996,0,"Intact",9,0,"1. Control",0,15,"C3",51.966
"A",1,1,1996,0,"Intact",9,0,"1. Control",0,15,"C4",71.167
"A",1,1,1996,0,"Intact",9,0,"1. Control",0,15,"F",3.3
"A",1,1,1996,0,"Intact",9,0,"1. Control",0,15,"L",0.057
"A",1,1,1997,0,"Intact",9,0,"1. Control",0,16,"C3",42.4
"A",1,1,1997,0,"Intact",9,0,"1. Control",0,16,"C4",48.633
"A",1,1,1997,0,"Intact",9,0,"1. Control",0,16,"F",0.033
"A",1,1,1998,0,"Intact",9,0,"1. Control",0,17,"C3",32.867
"A",1,1,1998,0,"Intact",9,0,"1. Control",0,17,"C4",87.167
"A",1,1,1998,0,"Intact",9,0,"1. Control",0,17,"F",0.247
"A",1,1,1999,0,"Intact",9,0,"1. Control",0,18,"C3",70.1
