"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"INTRODUCED",32.878
"A",1,1,1982,0,"Intact",9,0,"1. Control",0,1,"NATIVE",28.459
"A",1,1,1983,0,"Intact",9,0,"1. Control",0,2,"INTRODUCED",117.979
"A",1,1,1983,0,"Intact",9,0,"1. Control",0,2,"NATIVE",17.924
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"INTRODUCED",145.62
"A",1,1,1984,0,"Intact",9,0,"1. Control",0,3,"NATIVE",45.826
"A",1,1,1985,0,"Intact",9,0,"1. Control",0,4,"INTRODUCED",68.307
"A",1,1,1985,0,"Intact",9,0,"1. Control",0,4,"NATIVE",32.998
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"INTRODUCED",70.511
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,"NATIVE",53.128
"A",1,1,1986,0,"Intact",9,0,"1. Control",0,5,NA,12.433
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,"INTRODUCED",65.174
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,"NATIVE",35.144
"A",1,1,1987,0,"Intact",9,0,"1. Control",0,6,NA,15.033
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"INTRODUCED",24.666
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,"NATIVE",10.433
"A",1,1,1988,0,"Intact",9,0,"1. Control",0,7,NA,15.133
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"INTRODUCED",109.867
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,"NATIVE",16.467
"A",1,1,1989,0,"Intact",9,0,"1. Control",0,8,NA,20.3
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"INTRODUCED",18.833
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,"NATIVE",72.203
"A",1,1,1990,0,"Intact",9,0,"1. Control",0,9,NA,20.267
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,"INTRODUCED",37.67
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,"NATIVE",21.979
"A",1,1,1991,0,"Intact",9,0,"1. Control",0,10,NA,68.2
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"INTRODUCED",9.6
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,"NATIVE",43.533
"A",1,1,1992,0,"Intact",9,0,"1. Control",0,11,NA,76.333
