"exp","field","plot","disk","yr.plowed","ntrt","nadd","other.add","year","dur","precip.mm","precip.gs","mass.above","rich","even","ens.pie"
1,"A",1,0,1968,9,0,0,1982,1,879.348,373.888,61.337,13,0.463248674531131,6.02223276890471
1,"A",1,0,1968,9,0,0,1983,2,858.012,550.926,135.903,15,0.156086035248799,2.34129052873199
1,"A",1,0,1968,9,0,0,1984,3,876.046,527.304,216.882,14,0.203898059190788,2.85457282867103
1,"A",1,0,1968,9,0,0,1985,4,993.648,502.92,302.775,14,0.139661118750326,1.95525566250457
1,"A",1,0,1968,9,0,0,1986,5,858.52,512.318,586.872,16,0.269428595305715,4.31085752489144
1,"A",1,0,1968,9,0,0,1987,6,578.612,379.984,468.351,14,0.277951358392004,3.89131901748805
1,"A",1,0,1968,9,0,0,1988,7,591.312,291.084,170.432,8,0.507452279740588,4.0596182379247
1,"A",1,0,1968,9,0,0,1989,8,618.744,411.226,252.634,7,0.47346906913089,3.31428348391623
1,"A",1,0,1968,9,0,0,1990,9,1058.164,780.542,190.636,9,0.255266673735623,2.2974000636206
1,"A",1,0,1968,9,0,0,1991,10,1163.066,664.972,389.362,13,0.208107379715108,2.70539593629641
1,"A",1,0,1968,9,0,0,1992,11,717.55,425.958,152.133,8,0.302792546780937,2.4223403742475
1,"A",1,0,1968,9,0,0,1993,12,1026.16,706.374,202.817,8,0.30053372775532,2.40426982204256
1,"A",1,0,1968,9,0,0,1994,13,797.052,488.696,241.732,9,0.235144561839641,2.11630105655677
1,"A",1,0,1968,9,0,0,1996,15,959.104,483.362,139.59,6,0.345984053109642,2.07590431865785
1,"A",1,0,1968,9,0,0,1997,16,690.626,463.296,91.933,4,0.516817393263234,2.06726957305293
1,"A",1,0,1968,9,0,0,1999,18,734.822,561.086,226.834,6,0.296337021902916,1.7780221314175
1,"A",1,0,1968,9,0,0,2000,19,599.694,354.33,142.9,4,0.429136777345951,1.7165471093838
1,"A",1,0,1968,9,0,0,2002,21,905.51,600.71,137.074,6,0.401205769008308,2.40723461404985
1,"A",1,0,1968,9,0,0,2004,23,857.504,512.064,52.5333,6,0.337446962967445,2.02468177780467
1,"A",2,0,1968,2,1,1,1982,1,879.348,373.888,111.936,9,0.309521669416442,2.78569502474798
1,"A",2,0,1968,2,1,1,1983,2,858.012,550.926,145.747,10,0.149170949124501,1.49170949124501
1,"A",2,0,1968,2,1,1,1984,3,876.046,527.304,229.787,15,0.138702541755592,2.08053812633388
1,"A",2,0,1968,2,1,1,1985,4,993.648,502.92,114.579,11,0.0939160629191901,1.03307669211109
1,"A",2,0,1968,2,1,1,1986,5,858.52,512.318,274.14,15,0.0894846552516925,1.34226982877539
1,"A",2,0,1968,2,1,1,1987,6,578.612,379.984,156.444,6,0.186458151073142,1.11874890643885
1,"A",2,0,1968,2,1,1,1988,7,591.312,291.084,36.033,6,0.351364845220942,2.10818907132565
1,"A",2,0,1968,2,1,1,1989,8,618.744,411.226,170.8,10,0.101866981663985,1.01866981663985
1,"A",2,0,1968,2,1,1,1990,9,1058.164,780.542,84.375,6,0.40280212508531,2.41681275051186
1,"A",2,0,1968,2,1,1,1991,10,1163.066,664.972,135.764,8,0.160737881050903,1.28590304840723
1,"A",2,0,1968,2,1,1,1992,11,717.55,425.958,120.366,6,0.367347350383096,2.20408410229858
1,"A",2,0,1968,2,1,1,1993,12,1026.16,706.374,226.6,6,0.573850765079435,3.44310459047661
1,"A",2,0,1968,2,1,1,1994,13,797.052,488.696,126.932,10,0.306620118790293,3.06620118790293
1,"A",2,0,1968,2,1,1,1996,15,959.104,483.362,188.443,5,0.592325697950209,2.96162848975105
1,"A",2,0,1968,2,1,1,1997,16,690.626,463.296,134.6,3,0.710995471206449,2.13298641361935
1,"A",2,0,1968,2,1,1,1999,18,734.822,561.086,259.837,5,0.452591968809707,2.26295984404853
1,"A",2,0,1968,2,1,1,2000,19,599.694,354.33,145.366,6,0.337799240753323,2.02679544451994
1,"A",2,0,1968,2,1,1,2002,21,905.51,600.71,177.334,4,0.712252998848371,2.84901199539348
1,"A",2,0,1968,2,1,1,2004,23,857.504,512.064,112.337,6,0.249284744972964,1.49570846983778
1,"A",3,0,1968,4,3.4,1,1982,1,879.348,373.888,104.992,9,0.474975443806064,4.27477899425458
1,"A",3,0,1968,4,3.4,1,1983,2,858.012,550.926,222.067,12,0.10948436659871,1.31381239918453
1,"A",3,0,1968,4,3.4,1,1984,3,876.046,527.304,308.006,10,0.144571226193453,1.44571226193453
1,"A",3,0,1968,4,3.4,1,1985,4,993.648,502.92,159.534,7,0.162970859937959,1.14079601956572
1,"A",3,0,1968,4,3.4,1,1986,5,858.52,512.318,182.352,15,0.120575994390141,1.80863991585212
1,"A",3,0,1968,4,3.4,1,1987,6,578.612,379.984,133.629,5,0.217348684684669,1.08674342342335
1,"A",3,0,1968,4,3.4,1,1988,7,591.312,291.084,55.433,2,0.525166818129658,1.05033363625932
1,"A",3,0,1968,4,3.4,1,1989,8,618.744,411.226,176.333,5,0.21629475520196,1.0814737760098
1,"A",3,0,1968,4,3.4,1,1990,9,1058.164,780.542,67.624,2,0.504112956985073,1.00822591397015
1,"A",3,0,1968,4,3.4,1,1991,10,1163.066,664.972,171.869,6,0.181632512848921,1.08979507709353
1,"A",3,0,1968,4,3.4,1,1992,11,717.55,425.958,146.001,13,0.116793672273888,1.51831773956054
1,"A",3,0,1968,4,3.4,1,1993,12,1026.16,706.374,178.918,16,0.167688689541206,2.6830190326593
1,"A",3,0,1968,4,3.4,1,1994,13,797.052,488.696,73.628,8,0.260096730164157,2.08077384131326
1,"A",3,0,1968,4,3.4,1,1996,15,959.104,483.362,225.567,3,0.710506733809807,2.13152020142942
1,"A",3,0,1968,4,3.4,1,1997,16,690.626,463.296,87.433,5,0.41803645234109,2.09018226170545
1,"A",3,0,1968,4,3.4,1,1999,18,734.822,561.086,325.803,5,0.624432052720738,3.12216026360369
1,"A",3,0,1968,4,3.4,1,2000,19,599.694,354.33,89.967,4,0.495105318048745,1.98042127219498
1,"A",3,0,1968,4,3.4,1,2002,21,905.51,600.71,202.767,4,0.59452540361582,2.37810161446328
1,"A",3,0,1968,4,3.4,1,2004,23,857.504,512.064,262.46,5,0.296955217699595,1.48477608849797
1,"A",4,0,1968,2,1,1,1982,1,879.348,373.888,113.297,10,0.467654064442592,4.67654064442592
1,"A",4,0,1968,2,1,1,1983,2,858.012,550.926,83.82,13,0.134753389339892,1.75179406141859
1,"A",4,0,1968,2,1,1,1984,3,876.046,527.304,319.687,16,0.118316003906362,1.89305606250179
1,"A",4,0,1968,2,1,1,1985,4,993.648,502.92,154.227,8,0.240427705469143,1.92342164375315
1,"A",4,0,1968,2,1,1,1986,5,858.52,512.318,165.304,18,0.108072065561689,1.9452971801104
1,"A",4,0,1968,2,1,1,1987,6,578.612,379.984,171.905,9,0.217072441371864,1.95365197234678
1,"A",4,0,1968,2,1,1,1988,7,591.312,291.084,50.2,6,0.223262462478433,1.3395747748706
1,"A",4,0,1968,2,1,1,1989,8,618.744,411.226,188.534,5,0.352526938137202,1.76263469068601
1,"A",4,0,1968,2,1,1,1990,9,1058.164,780.542,81.209,6,0.343859326754323,2.06315596052594
1,"A",4,0,1968,2,1,1,1991,10,1163.066,664.972,184.181,8,0.302752699598677,2.42202159678941
1,"A",4,0,1968,2,1,1,1992,11,717.55,425.958,117.932,4,0.481442372954481,1.92576949181792
1,"A",4,0,1968,2,1,1,1993,12,1026.16,706.374,204.565,15,0.17728055855028,2.6592083782542
1,"A",4,0,1968,2,1,1,1994,13,797.052,488.696,120.499,9,0.295670149282029,2.66103134353826
1,"A",4,0,1968,2,1,1,1996,15,959.104,483.362,214.703,5,0.499221471185508,2.49610735592754
1,"A",4,0,1968,2,1,1,1997,16,690.626,463.296,114.687,4,0.655512465970226,2.6220498638809
1,"A",4,0,1968,2,1,1,1999,18,734.822,561.086,173.333,5,0.510061651766707,2.55030825883353
1,"A",4,0,1968,2,1,1,2000,19,599.694,354.33,147.065,8,0.307705046718368,2.46164037374694
1,"A",4,0,1968,2,1,1,2002,21,905.51,600.71,186.401,5,0.507944510663012,2.53972255331506
1,"A",4,0,1968,2,1,1,2004,23,857.504,512.064,156.9299,6,0.343086510804511,2.05851906482707
1,"A",5,0,1968,9,0,0,1982,1,879.348,373.888,436.523,9,0.188175564404071,1.69358007963664
1,"A",5,0,1968,9,0,0,1983,2,858.012,550.926,91.807,10,0.338714032395628,3.38714032395628
1,"A",5,0,1968,9,0,0,1984,3,876.046,527.304,243.637,16,0.184934690775014,2.95895505240022
1,"A",5,0,1968,9,0,0,1985,4,993.648,502.92,175.235,10,0.203953998585085,2.03953998585085
1,"A",5,0,1968,9,0,0,1986,5,858.52,512.318,136.69,17,0.154241628349983,2.62210768194971
1,"A",5,0,1968,9,0,0,1987,6,578.612,379.984,146.666,11,0.234865931219824,2.58352524341806
1,"A",5,0,1968,9,0,0,1988,7,591.312,291.084,51.133,6,0.38134641699369,2.28807850196214
1,"A",5,0,1968,9,0,0,1989,8,618.744,411.226,190.47,9,0.285227666422287,2.56704899780058
1,"A",5,0,1968,9,0,0,1990,9,1058.164,780.542,77.086,5,0.600068281161166,3.00034140580583
1,"A",5,0,1968,9,0,0,1991,10,1163.066,664.972,145.042,9,0.326196455577185,2.93576810019467
1,"A",5,0,1968,9,0,0,1992,11,717.55,425.958,175.348,7,0.370299739243672,2.5920981747057
1,"A",5,0,1968,9,0,0,1993,12,1026.16,706.374,188.291,4,0.654362831847522,2.61745132739009
1,"A",5,0,1968,9,0,0,1994,13,797.052,488.696,110.102,6,0.421309111543635,2.52785466926181
1,"A",5,0,1968,9,0,0,1996,15,959.104,483.362,201.287,5,0.400292732314576,2.00146366157288
1,"A",5,0,1968,9,0,0,1997,16,690.626,463.296,56.699,4,0.556604088329239,2.22641635331696
1,"A",5,0,1968,9,0,0,1999,18,734.822,561.086,132.156,4,0.603047280384348,2.41218912153739
1,"A",5,0,1968,9,0,0,2000,19,599.694,354.33,119.799,4,0.518081956730156,2.07232782692062
1,"A",5,0,1968,9,0,0,2002,21,905.51,600.71,145.84,6,0.301570480601109,1.80942288360665
1,"A",5,0,1968,9,0,0,2004,23,857.504,512.064,172.57,6,0.290326323346421,1.74195794007853
1,"A",6,0,1968,8,27.2,1,1982,1,879.348,373.888,187.214,8,0.40543497994973,3.24347983959784
1,"A",6,0,1968,8,27.2,1,1983,2,858.012,550.926,415.82,10,0.104929987115337,1.04929987115337
1,"A",6,0,1968,8,27.2,1,1984,3,876.046,527.304,270.83,7,0.159532680549846,1.11672876384892
1,"A",6,0,1968,8,27.2,1,1985,4,993.648,502.92,343.734,4,0.255112734940683,1.02045093976273
1,"A",6,0,1968,8,27.2,1,1986,5,858.52,512.318,200.4,1,1,1
1,"A",6,0,1968,8,27.2,1,1987,6,578.612,379.984,247.967,2,0.505135657000519,1.01027131400104
1,"A",6,0,1968,8,27.2,1,1988,7,591.312,291.084,44.9,1,1,1
1,"A",6,0,1968,8,27.2,1,1989,8,618.744,411.226,408.37,2,0.502208740789006,1.00441748157801
1,"A",6,0,1968,8,27.2,1,1990,9,1058.164,780.542,127.853,2,0.500962967869264,1.00192593573853
1,"A",6,0,1968,8,27.2,1,1991,10,1163.066,664.972,389.57,1,1,1
1,"A",6,0,1968,8,27.2,1,1992,11,717.55,425.958,329.406,6,0.324011023309983,1.9440661398599
1,"A",6,0,1968,8,27.2,1,1993,12,1026.16,706.374,224.968,7,0.154883937191062,1.08418756033743
1,"A",6,0,1968,8,27.2,1,1994,13,797.052,488.696,157.503,3,0.338596274281339,1.01578882284402
1,"A",6,0,1968,8,27.2,1,1996,15,959.104,483.362,390.763,4,0.271292020622778,1.08516808249111
1,"A",6,0,1968,8,27.2,1,1997,16,690.626,463.296,21.1,3,0.572236019372782,1.71670805811835
1,"A",6,0,1968,8,27.2,1,1999,18,734.822,561.086,511.967,4,0.251999363353693,1.00799745341477
1,"A",6,0,1968,8,27.2,1,2000,19,599.694,354.33,251.134,5,0.231297869868009,1.15648934934004
1,"A",6,0,1968,8,27.2,1,2002,21,905.51,600.71,208.837,4,0.259876852403367,1.03950740961347
1,"A",6,0,1968,8,27.2,1,2004,23,857.504,512.064,312.9333,5,0.215897598620074,1.07948799310037
1,"A",7,0,1968,7,17,1,1982,1,879.348,373.888,321.847,12,0.216438277026211,2.59725932431453
1,"A",7,0,1968,7,17,1,1983,2,858.012,550.926,399.488,14,0.106804417557298,1.49526184580217
1,"A",7,0,1968,7,17,1,1984,3,876.046,527.304,431.494,7,0.192673232183875,1.34871262528713
1,"A",7,0,1968,7,17,1,1985,4,993.648,502.92,356.283,2,0.713952719932703,1.42790543986541
1,"A",7,0,1968,7,17,1,1986,5,858.52,512.318,157.027,2,0.566964040176583,1.13392808035317
1,"A",7,0,1968,7,17,1,1987,6,578.612,379.984,274.337,2,0.748545214609282,1.49709042921856
1,"A",7,0,1968,7,17,1,1988,7,591.312,291.084,10.033,1,1,1
1,"A",7,0,1968,7,17,1,1989,8,618.744,411.226,397.197,2,0.502946720871297,1.00589344174259
1,"A",7,0,1968,7,17,1,1990,9,1058.164,780.542,91.377,2,0.538201105137712,1.07640221027542
1,"A",7,0,1968,7,17,1,1991,10,1163.066,664.972,226.897,2,0.529778837869441,1.05955767573888
1,"A",7,0,1968,7,17,1,1992,11,717.55,425.958,282.703,2,0.613817286581788,1.22763457316358
1,"A",7,0,1968,7,17,1,1993,12,1026.16,706.374,134.667,2,0.987202121563318,1.97440424312664
1,"A",7,0,1968,7,17,1,1994,13,797.052,488.696,103.166,3,0.613198748655541,1.83959624596662
1,"A",7,0,1968,7,17,1,1996,15,959.104,483.362,280.23,2,0.864317258230527,1.72863451646105
1,"A",7,0,1968,7,17,1,1997,16,690.626,463.296,74.734,2,0.59858576271746,1.19717152543492
1,"A",7,0,1968,7,17,1,1999,18,734.822,561.086,240.166,3,0.35649768767078,1.06949306301234
1,"A",7,0,1968,7,17,1,2000,19,599.694,354.33,149.933,3,0.334971842472414,1.00491552741724
1,"A",7,0,1968,7,17,1,2002,21,905.51,600.71,238.667,2,0.570856967512018,1.14171393502404
1,"A",7,0,1968,7,17,1,2004,23,857.504,512.064,184.6,5,0.320290778820599,1.60145389410299
1,"A",8,0,1968,4,3.4,1,1982,1,879.348,373.888,129.335,14,0.255369783611585,3.57517697056219
1,"A",8,0,1968,4,3.4,1,1983,2,858.012,550.926,157.233,13,0.162434570403378,2.11164941524391
1,"A",8,0,1968,4,3.4,1,1984,3,876.046,527.304,283.437,13,0.153490322457411,1.99537419194634
1,"A",8,0,1968,4,3.4,1,1985,4,993.648,502.92,141.891,9,0.124782282643871,1.12304054379484
1,"A",8,0,1968,4,3.4,1,1986,5,858.52,512.318,133.203,7,0.272255042421512,1.90578529695058
1,"A",8,0,1968,4,3.4,1,1987,6,578.612,379.984,132.3,4,0.264043537455881,1.05617414982352
1,"A",8,0,1968,4,3.4,1,1988,7,591.312,291.084,25.867,2,0.64910937720586,1.29821875441172
1,"A",8,0,1968,4,3.4,1,1989,8,618.744,411.226,234.163,3,0.333712242230556,1.00113672669167
1,"A",8,0,1968,4,3.4,1,1990,9,1058.164,780.542,72.794,4,0.481322096925632,1.92528838770253
1,"A",8,0,1968,4,3.4,1,1991,10,1163.066,664.972,207.056,5,0.264164748671745,1.32082374335872
1,"A",8,0,1968,4,3.4,1,1992,11,717.55,425.958,169.067,3,0.676359470498422,2.02907841149527
1,"A",8,0,1968,4,3.4,1,1993,12,1026.16,706.374,189.334,4,0.461186931343439,1.84474772537376
1,"A",8,0,1968,4,3.4,1,1994,13,797.052,488.696,145.901,5,0.430609871034218,2.15304935517109
1,"A",8,0,1968,4,3.4,1,1996,15,959.104,483.362,193.967,4,0.627486204742441,2.50994481896976
1,"A",8,0,1968,4,3.4,1,1997,16,690.626,463.296,87.35,2,0.89612965949998,1.79225931899996
1,"A",8,0,1968,4,3.4,1,1999,18,734.822,561.086,330.75,3,0.665993048251822,1.99797914475547
1,"A",8,0,1968,4,3.4,1,2000,19,599.694,354.33,189.063,3,0.663299075582749,1.98989722674825
1,"A",8,0,1968,4,3.4,1,2002,21,905.51,600.71,170.93,2,0.697636556721933,1.39527311344387
1,"A",8,0,1968,4,3.4,1,2004,23,857.504,512.064,338.9629,4,0.274204305487916,1.09681722195166
1,"A",9,0,1968,6,9.5,1,1982,1,879.348,373.888,199.208,11,0.360185840944133,3.96204425038546
1,"A",9,0,1968,6,9.5,1,1983,2,858.012,550.926,476.867,5,0.204880447562138,1.02440223781069
1,"A",9,0,1968,6,9.5,1,1984,3,876.046,527.304,264.771,8,0.135569269584111,1.08455415667289
1,"A",9,0,1968,6,9.5,1,1985,4,993.648,502.92,230.543,5,0.221983208481961,1.1099160424098
1,"A",9,0,1968,6,9.5,1,1986,5,858.52,512.318,150.837,3,0.334796036988047,1.00438811096414
1,"A",9,0,1968,6,9.5,1,1987,6,578.612,379.984,182.143,3,0.42949437292687,1.28848311878061
1,"A",9,0,1968,6,9.5,1,1988,7,591.312,291.084,28.7,2,0.672371921748548,1.3447438434971
1,"A",9,0,1968,6,9.5,1,1989,8,618.744,411.226,269.667,4,0.256912551557174,1.02765020622869
1,"A",9,0,1968,6,9.5,1,1990,9,1058.164,780.542,125.237,1,1,1
1,"A",9,0,1968,6,9.5,1,1991,10,1163.066,664.972,205.57,2,0.507350021862056,1.01470004372411
1,"A",9,0,1968,6,9.5,1,1992,11,717.55,425.958,227.037,3,0.340675126880811,1.02202538064243
1,"A",9,0,1968,6,9.5,1,1993,12,1026.16,706.374,218.7,6,0.228571425091326,1.37142855054795
1,"A",9,0,1968,6,9.5,1,1994,13,797.052,488.696,150.47,2,0.887881900098767,1.77576380019753
1,"A",9,0,1968,6,9.5,1,1996,15,959.104,483.362,138.686,3,0.490192292537926,1.47057687761378
1,"A",9,0,1968,6,9.5,1,1997,16,690.626,463.296,118.136,3,0.404160762174991,1.21248228652497
1,"A",9,0,1968,6,9.5,1,1999,18,734.822,561.086,346.533,3,0.44940168141264,1.34820504423792
1,"A",9,0,1968,6,9.5,1,2000,19,599.694,354.33,233.403,5,0.540267357195013,2.70133678597506
1,"A",9,0,1968,6,9.5,1,2002,21,905.51,600.71,265.603,5,0.291899911202137,1.45949955601069
1,"A",9,0,1968,6,9.5,1,2004,23,857.504,512.064,335.796,6,0.389033597752598,2.33420158651559
1,"A",10,0,1968,3,2,1,1982,1,879.348,373.888,127.767,13,0.453505578991166,5.89557252688516
1,"A",10,0,1968,3,2,1,1983,2,858.012,550.926,107.295,14,0.183168345865863,2.56435684212208
1,"A",10,0,1968,3,2,1,1984,3,876.046,527.304,181.567,14,0.20194011876055,2.8271616626477
1,"A",10,0,1968,3,2,1,1985,4,993.648,502.92,180.163,6,0.175565187949488,1.05339112769693
1,"A",10,0,1968,3,2,1,1986,5,858.52,512.318,215.936,13,0.0977668333850061,1.27096883400508
1,"A",10,0,1968,3,2,1,1987,6,578.612,379.984,199.934,8,0.156231708288681,1.24985366630945
1,"A",10,0,1968,3,2,1,1988,7,591.312,291.084,49.934,4,0.352835425199901,1.4113417007996
1,"A",10,0,1968,3,2,1,1989,8,618.744,411.226,249.331,8,0.141518222188529,1.13214577750824
1,"A",10,0,1968,3,2,1,1990,9,1058.164,780.542,65.52,3,0.598429351664168,1.7952880549925
1,"A",10,0,1968,3,2,1,1991,10,1163.066,664.972,267.737,9,0.137165867279609,1.23449280551648
1,"A",10,0,1968,3,2,1,1992,11,717.55,425.958,143.333,3,0.647314104960435,1.94194231488131
1,"A",10,0,1968,3,2,1,1993,12,1026.16,706.374,188.803,6,0.297495632265954,1.78497379359573
1,"A",10,0,1968,3,2,1,1994,13,797.052,488.696,82.567,9,0.289661223764843,2.60695101388359
1,"A",10,0,1968,3,2,1,1996,15,959.104,483.362,166.74,5,0.472191740776478,2.36095870388239
1,"A",10,0,1968,3,2,1,1997,16,690.626,463.296,143.093,4,0.466242886426982,1.86497154570793
1,"A",10,0,1968,3,2,1,1999,18,734.822,561.086,268.33,2,0.991618065401266,1.98323613080253
1,"A",10,0,1968,3,2,1,2000,19,599.694,354.33,219.137,4,0.468425889168964,1.87370355667586
1,"A",10,0,1968,3,2,1,2002,21,905.51,600.71,155.59,4,0.512851230855567,2.05140492342227
1,"A",10,0,1968,3,2,1,2004,23,857.504,512.064,152.35,5,0.295968057455189,1.47984028727594
1,"A",11,0,1968,8,27.2,1,1982,1,879.348,373.888,164.763,11,0.364522948910304,4.00975243801335
1,"A",11,0,1968,8,27.2,1,1983,2,858.012,550.926,1267.414,6,0.204582825870248,1.22749695522149
1,"A",11,0,1968,8,27.2,1,1984,3,876.046,527.304,284.8,3,0.334117313039986,1.00235193911996
1,"A",11,0,1968,8,27.2,1,1985,4,993.648,502.92,364.583,2,0.500969166923187,1.00193833384637
1,"A",11,0,1968,8,27.2,1,1986,5,858.52,512.318,160.676,3,0.363982926383046,1.09194877914914
1,"A",11,0,1968,8,27.2,1,1987,6,578.612,379.984,199.377,1,1,1
1,"A",11,0,1968,8,27.2,1,1988,7,591.312,291.084,10.333,1,1,1
1,"A",11,0,1968,8,27.2,1,1989,8,618.744,411.226,244,1,1,1
1,"A",11,0,1968,8,27.2,1,1990,9,1058.164,780.542,71,3,0.338322773570844,1.01496832071253
1,"A",11,0,1968,8,27.2,1,1991,10,1163.066,664.972,314.303,2,0.500105005249105,1.00021001049821
1,"A",11,0,1968,8,27.2,1,1992,11,717.55,425.958,226.87,2,0.509791200743448,1.0195824014869
1,"A",11,0,1968,8,27.2,1,1993,12,1026.16,706.374,296.144,3,0.333657668723638,1.00097300617091
