"field"	"exp"	"year"	"plot"	"disk"	"ntrt"	"nadd"	"other.add"	"dur"	"yr.plowed"	"precip.mm"	"precip.gs"	"mass.above.total"	"rich"	"even"	"ens.pie"	"disk.trt"	"trt"	"functional.group"	"mass.above.functional"
"1"	"A"	1	1982	1	0	9	0	0	1	1968	879.348	373.888	61.337	13	0.463248674531131	6.02223276890471	"Intact"	"1. Control"	"S"	0.033
"2"	"A"	1	1982	1	0	9	0	0	1	1968	879.348	373.888	61.337	13	0.463248674531131	6.02223276890471	"Intact"	"1. Control"	"C3"	21.8
"3"	"A"	1	1982	1	0	9	0	0	1	1968	879.348	373.888	61.337	13	0.463248674531131	6.02223276890471	"Intact"	"1. Control"	"C4"	2.72
"4"	"A"	1	1982	1	0	9	0	0	1	1968	879.348	373.888	61.337	13	0.463248674531131	6.02223276890471	"Intact"	"1. Control"	"F"	36.784
"5"	"A"	1	1982	11	0	8	27.2	1	1	1968	879.348	373.888	164.763	11	0.364522948910304	4.00975243801335	"Intact"	"2. NPK+"	"F"	97.837
"6"	"A"	1	1982	11	0	8	27.2	1	1	1968	879.348	373.888	164.763	11	0.364522948910304	4.00975243801335	"Intact"	"2. NPK+"	"C4"	0.493
"7"	"A"	1	1982	11	0	8	27.2	1	1	1968	879.348	373.888	164.763	11	0.364522948910304	4.00975243801335	"Intact"	"2. NPK+"	"C3"	66.433
"8"	"A"	1	1982	17	0	8	27.2	1	1	1968	879.348	373.888	248.624	13	0.164571751318972	2.13943276714663	"Intact"	"2. NPK+"	"S"	0.133
"9"	"A"	1	1982	17	0	8	27.2	1	1	1968	879.348	373.888	248.624	13	0.164571751318972	2.13943276714663	"Intact"	"2. NPK+"	"C4"	1.417
"10"	"A"	1	1982	17	0	8	27.2	1	1	1968	879.348	373.888	248.624	13	0.164571751318972	2.13943276714663	"Intact"	"2. NPK+"	"F"	176.96
"11"	"A"	1	1982	17	0	8	27.2	1	1	1968	879.348	373.888	248.624	13	0.164571751318972	2.13943276714663	"Intact"	"2. NPK+"	"C3"	70.114
"12"	"A"	1	1982	18	0	8	27.2	1	1	1968	879.348	373.888	196.469	11	0.42256946533652	4.64826411870172	"Intact"	"2. NPK+"	"F"	130.636
"13"	"A"	1	1982	18	0	8	27.2	1	1	1968	879.348	373.888	196.469	11	0.42256946533652	4.64826411870172	"Intact"	"2. NPK+"	"C3"	63.5
"14"	"A"	1	1982	18	0	8	27.2	1	1	1968	879.348	373.888	196.469	11	0.42256946533652	4.64826411870172	"Intact"	"2. NPK+"	"C4"	2.333
"15"	"A"	1	1982	20	0	9	0	0	1	1968	879.348	373.888	84.27	9	0.334904959940351	3.01414463946316	"Intact"	"1. Control"	"C3"	49.367
"16"	"A"	1	1982	20	0	9	0	0	1	1968	879.348	373.888	84.27	9	0.334904959940351	3.01414463946316	"Intact"	"1. Control"	"F"	34.67
"17"	"A"	1	1982	20	0	9	0	0	1	1968	879.348	373.888	84.27	9	0.334904959940351	3.01414463946316	"Intact"	"1. Control"	"L"	0.233
"18"	"A"	1	1982	33	0	9	0	0	1	1968	879.348	373.888	172.213	11	0.399758027786792	4.39733830565472	"Intact"	"1. Control"	"C3"	56.367
"19"	"A"	1	1982	33	0	9	0	0	1	1968	879.348	373.888	172.213	11	0.399758027786792	4.39733830565472	"Intact"	"1. Control"	"F"	113.733
"20"	"A"	1	1982	33	0	9	0	0	1	1968	879.348	373.888	172.213	11	0.399758027786792	4.39733830565472	"Intact"	"1. Control"	"C4"	2.113
"21"	"A"	1	1982	40	0	8	27.2	1	1	1968	879.348	373.888	210.479	14	0.147084797689238	2.05918716764934	"Intact"	"2. NPK+"	"C3"	149.433
"22"	"A"	1	1982	40	0	8	27.2	1	1	1968	879.348	373.888	210.479	14	0.147084797689238	2.05918716764934	"Intact"	"2. NPK+"	"C4"	1.367
"23"	"A"	1	1982	40	0	8	27.2	1	1	1968	879.348	373.888	210.479	14	0.147084797689238	2.05918716764934	"Intact"	"2. NPK+"	"F"	59.679
"24"	"A"	1	1982	46	0	9	0	0	1	1968	879.348	373.888	92.714	6	0.433936866884691	2.60362120130815	"Intact"	"1. Control"	"C3"	52.694
"25"	"A"	1	1982	46	0	9	0	0	1	1968	879.348	373.888	92.714	6	0.433936866884691	2.60362120130815	"Intact"	"1. Control"	"F"	40.02
"26"	"A"	1	1982	47	0	9	0	0	1	1968	879.348	373.888	56.13	14	0.411478572671532	5.76070001740144	"Intact"	"1. Control"	"C3"	28.294
"27"	"A"	1	1982	47	0	9	0	0	1	1968	879.348	373.888	56.13	14	0.411478572671532	5.76070001740144	"Intact"	"1. Control"	"F"	24.866
"28"	"A"	1	1982	47	0	9	0	0	1	1968	879.348	373.888	56.13	14	0.411478572671532	5.76070001740144	"Intact"	"1. Control"	"C4"	2.97
"29"	"A"	1	1982	5	0	9	0	0	1	1968	879.348	373.888	436.523	9	0.188175564404071	1.69358007963664	"Intact"	"1. Control"	"C4"	0.58
"30"	"A"	1	1982	5	0	9	0	0	1	1968	879.348	373.888	436.523	9	0.188175564404071	1.69358007963664	"Intact"	"1. Control"	"C3"	59.373
"31"	"A"	1	1982	5	0	9	0	0	1	1968	879.348	373.888	436.523	9	0.188175564404071	1.69358007963664	"Intact"	"1. Control"	"F"	376.57
"32"	"A"	1	1982	52	0	8	27.2	1	1	1968	879.348	373.888	199.947	8	0.212094681486176	1.69675745188941	"Intact"	"2. NPK+"	"C3"	47.06
"33"	"A"	1	1982	52	0	8	27.2	1	1	1968	879.348	373.888	199.947	8	0.212094681486176	1.69675745188941	"Intact"	"2. NPK+"	"F"	152.764
"34"	"A"	1	1982	52	0	8	27.2	1	1	1968	879.348	373.888	199.947	8	0.212094681486176	1.69675745188941	"Intact"	"2. NPK+"	"C4"	0.123
"35"	"A"	1	1982	6	0	8	27.2	1	1	1968	879.348	373.888	187.214	8	0.40543497994973	3.24347983959784	"Intact"	"2. NPK+"	"C4"	1.407
