Exp;Plot;Longitude;Latitude
120;1;-93.187667;45.404182
120;2;-93.187827;45.404183
120;3;-93.187994;45.40418
120;4;-93.188165;45.40418
120;5;-93.188329;45.404177
120;6;-93.188488;45.404174
120;7;-93.188663;45.404171
120;8;-93.188887;45.404165
120;9;-93.189058;45.404165
120;10;-93.189221;45.404165
120;11;-93.189388;45.404159
120;12;-93.189559;45.404156
120;13;-93.189719;45.404153
120;14;-93.189947;45.40415
120;15;-93.190118;45.404147
120;16;-93.190281;45.404144
120;17;-93.190456;45.404141
120;18;-93.190612;45.404138
120;19;-93.190775;45.404138
120;20;-93.190769;45.404017
120;21;-93.190606;45.404017
120;22;-93.19045;45.40402
120;23;-93.190278;45.404029
120;24;-93.190111;45.404033
120;25;-93.189949;45.404034
120;26;-93.189717;45.404032
120;27;-93.189554;45.404035
120;28;-93.189383;45.404038
120;29;-93.189221;45.404047
120;30;-93.189052;45.404044
120;31;-93.188889;45.404049
120;32;-93.188657;45.40405
120;33;-93.188482;45.404053
120;34;-93.188323;45.404055
120;35;-93.188159;45.404058
120;36;-93.187988;45.404059
120;37;-93.187821;45.404062
120;38;-93.187661;45.404066
120;39;-93.187656;45.403915
120;40;-93.18782;45.403911
120;41;-93.187987;45.403908
120;42;-93.188158;45.403908
120;43;-93.188321;45.403905
120;44;-93.188481;45.403902
120;45;-93.188655;45.403899
120;46;-93.18888;45.403893
120;47;-93.18905;45.403893
120;48;-93.189214;45.403892
120;49;-93.189381;45.403887
120;50;-93.189552;45.403884
120;51;-93.189711;45.403881
120;52;-93.189939;45.403878
120;53;-93.19011;45.403875
120;54;-93.190274;45.403872
120;55;-93.190448;45.403869
120;56;-93.190604;45.403866
120;57;-93.190768;45.403866
120;58;-93.190762;45.403745
120;59;-93.190598;45.403745
120;60;-93.190443;45.403748
120;61;-93.190275;45.403753
120;62;-93.190105;45.403754
120;63;-93.189945;45.403755
120;64;-93.189709;45.40376
120;65;-93.18955;45.403764
120;66;-93.189375;45.403766
120;67;-93.189211;45.403763
120;68;-93.189045;45.403772
120;69;-93.188881;45.403777
120;70;-93.18865;45.403778
120;71;-93.18848;45.403779
120;72;-93.188315;45.403783
120;73;-93.188152;45.403786
120;74;-93.187981;45.403787
